,type,province,district,sub-district,unit_number,total_ballots,valid_ballots,invalid_ballots,no_vote_ballots,remain_ballots
0,บช,ลำปาง,นอกเขต,ชุดที่ 1,-1,700,663,8,29,-1
1,เขต,ลำปาง,นอกเขต,ชุดที่ 1,-1,700,605,32,63,-1
2,บช,ลำปาง,นอกเขต,ชุดที่ 10,-1,700,668,8,24,-1
3,เขต,ลำปาง,นอกเขต,ชุดที่ 10,-1,700,616,28,56,-1
4,บช,ลำปาง,นอกเขต,ชุดที่ 11,-1,700,664,6,30,-1
5,เขต,ลำปาง,นอกเขต,ชุดที่ 11,-1,700,607,28,65,-1
6,บช,ลำปาง,นอกเขต,ชุดที่ 12,-1,700,666,7,27,-1
7,เขต,ลำปาง,นอกเขต,ชุดที่ 12,-1,700,614,33,53,-1
8,บช,ลำปาง,นอกเขต,ชุดที่ 13,-1,694,662,4,28,-1
9,เขต,ลำปาง,นอกเขต,ชุดที่ 13,-1,694,599,37,58,-1
10,บช,ลำปาง,นอกเขต,ชุดที่ 2,-1,700,655,8,37,-1
11,เขต,ลำปาง,นอกเขต,ชุดที่ 2,-1,700,607,30,63,-1
12,บช,ลำปาง,นอกเขต,ชุดที่ 3,-1,700,670,4,26,-1
13,บช,ลำปาง,นอกเขต,ชุดที่ 4,-1,700,672,4,24,-1
14,เขต,ลำปาง,นอกเขต,ชุดที่ 4,-1,700,625,25,50,-1
15,บช,ลำปาง,นอกเขต,ชุดที่ 5,-1,700,665,8,27,-1
16,บช,ลำปาง,นอกเขต,ชุดที่ 6,-1,700,672,4,24,-1
17,เขต,ลำปาง,นอกเขต,ชุดที่ 6,-1,700,621,24,55,-1
18,บช,ลำปาง,นอกเขต,ชุดที่ 7,-1,700,664,6,30,-1
19,เขต,ลำปาง,นอกเขต,ชุดที่ 7,-1,700,612,19,69,-1
20,บช,ลำปาง,นอกเขต,ชุดที่ 8,-1,700,677,4,19,-1
21,เขต,ลำปาง,นอกเขต,ชุดที่ 8,-1,700,626,24,50,-1
22,บช,ลำปาง,นอกเขต,ชุดที่ 9,-1,700,666,6,28,-1
23,เขต,ลำปาง,นอกเขต,ชุดที่ 9,-1,700,607,27,66,-1
24,เขต,ลำปาง,งาว,นาแก,1,300,204,8,2,86
25,เขต,ลำปาง,งาว,นาแก,2,700,404,27,17,252
26,เขต,ลำปาง,งาว,นาแก,3,360,219,14,11,116
27,เขต,ลำปาง,งาว,นาแก,4,460,300,23,6,131
28,เขต,ลำปาง,งาว,นาแก,5,640,437,29,15,159
29,เขต,ลำปาง,งาว,นาแก,6,280,177,15,0,88
30,เขต,ลำปาง,งาว,บ้านร้อง,1,440,281,26,9,124
31,เขต,ลำปาง,งาว,บ้านร้อง,10,440,232,17,12,179
32,เขต,ลำปาง,งาว,บ้านร้อง,11,300,213,9,3,75
33,เขต,ลำปาง,งาว,บ้านร้อง,12,360,183,23,2,152
34,เขต,ลำปาง,งาว,บ้านร้อง,2,520,310,26,9,175
35,เขต,ลำปาง,งาว,บ้านร้อง,3,520,298,28,8,186
36,เขต,ลำปาง,งาว,บ้านร้อง,4,360,233,15,6,106
37,เขต,ลำปาง,งาว,บ้านร้อง,5,520,329,37,13,141
38,เขต,ลำปาง,งาว,บ้านร้อง,6,220,127,13,1,79
39,เขต,ลำปาง,งาว,บ้านร้อง,7,320,186,18,3,113
40,เขต,ลำปาง,งาว,บ้านร้อง,8,200,134,8,2,56
41,เขต,ลำปาง,งาว,บ้านร้อง,9,400,190,23,10,177
42,เขต,ลำปาง,งาว,บ้านหวด,1,340,217,10,7,106
43,เขต,ลำปาง,งาว,บ้านหวด,2,540,307,17,10,206
44,เขต,ลำปาง,งาว,บ้านหวด,3,620,324,27,10,259
45,เขต,ลำปาง,งาว,บ้านหวด,4,580,296,25,12,247
46,เขต,ลำปาง,งาว,บ้านหวด,5,760,405,35,16,304
47,เขต,ลำปาง,งาว,บ้านหวด,6,480,281,30,13,156
48,เขต,ลำปาง,งาว,บ้านหวด,7,340,194,20,12,114
49,เขต,ลำปาง,งาว,บ้านอ้อน,1,440,269,18,14,139
50,เขต,ลำปาง,งาว,บ้านอ้อน,3,560,368,12,11,169
51,เขต,ลำปาง,งาว,บ้านอ้อน,4,500,322,19,6,153
52,เขต,ลำปาง,งาว,บ้านอ้อน,5,400,158,27,11,204
53,เขต,ลำปาง,งาว,บ้านอ้อน,6,420,271,18,6,125
54,เขต,ลำปาง,งาว,บ้านอ้อน,8,160,104,8,0,48
55,เขต,ลำปาง,งาว,บ้านแหง,1,660,395,26,19,220
56,เขต,ลำปาง,งาว,บ้านแหง,2,460,324,23,11,102
57,เขต,ลำปาง,งาว,บ้านแหง,3,700,490,26,8,176
58,เขต,ลำปาง,งาว,บ้านแหง,4,520,358,29,19,114
59,เขต,ลำปาง,งาว,บ้านแหง,5,500,334,18,17,131
60,เขต,ลำปาง,งาว,บ้านแหง,6,500,324,26,5,145
61,เขต,ลำปาง,งาว,บ้านแหง,7,260,188,5,5,62
62,เขต,ลำปาง,งาว,บ้านแหง,8,540,314,31,12,183
63,เขต,ลำปาง,งาว,บ้านแหง,9,640,414,27,5,194
64,เขต,ลำปาง,งาว,บ้านโป่ง,1,480,249,21,17,193
65,เขต,ลำปาง,งาว,บ้านโป่ง,10,460,266,20,16,158
66,เขต,ลำปาง,งาว,บ้านโป่ง,11,360,199,12,7,142
67,เขต,ลำปาง,งาว,บ้านโป่ง,12,420,265,14,13,128
68,เขต,ลำปาง,งาว,บ้านโป่ง,2,440,242,37,3,158
69,เขต,ลำปาง,งาว,บ้านโป่ง,3,340,214,11,4,111
70,เขต,ลำปาง,งาว,บ้านโป่ง,4,400,216,18,11,155
71,เขต,ลำปาง,งาว,บ้านโป่ง,5,520,328,16,11,165
72,เขต,ลำปาง,งาว,บ้านโป่ง,6,500,243,29,11,217
73,เขต,ลำปาง,งาว,บ้านโป่ง,7,360,208,18,1,133
74,เขต,ลำปาง,งาว,บ้านโป่ง,8,380,236,13,11,120
75,เขต,ลำปาง,งาว,บ้านโป่ง,9,420,250,21,21,128
76,เขต,ลำปาง,งาว,ปงเตา,1,500,279,20,3,198
77,เขต,ลำปาง,งาว,ปงเตา,10,180,89,23,2,66
78,เขต,ลำปาง,งาว,ปงเตา,11,260,125,4,2,129
79,เขต,ลำปาง,งาว,ปงเตา,12,380,236,8,3,133
80,เขต,ลำปาง,งาว,ปงเตา,2,560,330,9,8,213
81,เขต,ลำปาง,งาว,ปงเตา,3,280,156,16,9,99
82,เขต,ลำปาง,งาว,ปงเตา,4,460,292,11,7,150
83,เขต,ลำปาง,งาว,ปงเตา,5,640,398,20,11,211
84,เขต,ลำปาง,งาว,ปงเตา,6,360,201,16,8,135
85,เขต,ลำปาง,งาว,ปงเตา,7,380,174,18,5,183
86,เขต,ลำปาง,งาว,ปงเตา,8,360,235,12,9,104
87,เขต,ลำปาง,งาว,ปงเตา,9,440,269,15,2,154
88,เขต,ลำปาง,งาว,หลวงเหนือ,1,380,243,15,8,114
89,เขต,ลำปาง,งาว,หลวงเหนือ,2,440,286,16,6,132
90,เขต,ลำปาง,งาว,หลวงเหนือ,4,500,284,8,24,184
91,เขต,ลำปาง,งาว,หลวงเหนือ,5,540,323,16,22,179
92,เขต,ลำปาง,งาว,หลวงเหนือ,6,560,340,18,19,183
93,เขต,ลำปาง,งาว,หลวงเหนือ,7,240,152,13,3,72
94,เขต,ลำปาง,งาว,หลวงใต้,1,600,368,25,13,194
95,เขต,ลำปาง,งาว,หลวงใต้,2,740,405,32,25,278
96,เขต,ลำปาง,งาว,หลวงใต้,3,480,323,14,14,129
97,เขต,ลำปาง,งาว,หลวงใต้,4,320,206,4,13,97
98,เขต,ลำปาง,งาว,หลวงใต้,5,580,354,20,14,192
99,เขต,ลำปาง,งาว,หลวงใต้,6,760,443,25,13,279
100,เขต,ลำปาง,งาว,หลวงใต้,7,340,223,12,4,101
101,เขต,ลำปาง,งาว,หลวงใต้,8,420,276,22,7,115
102,เขต,ลำปาง,งาว,แม่ตีบ,1,460,269,15,6,170
103,เขต,ลำปาง,งาว,แม่ตีบ,2,480,319,18,5,138
104,เขต,ลำปาง,งาว,แม่ตีบ,3,440,278,21,8,133
105,เขต,ลำปาง,งาว,แม่ตีบ,4,500,339,17,8,136
106,เขต,ลำปาง,งาว,แม่ตีบ,5,520,321,16,7,176
107,เขต,ลำปาง,งาว,แม่ตีบ,6,660,502,24,9,125
108,เขต,ลำปาง,งาว,แม่ตีบ,7,320,210,12,4,94
109,บช,ลำปาง,งาว,นาแก,1,300,198,8,8,86
110,บช,ลำปาง,งาว,นาแก,2,700,413,22,13,252
111,บช,ลำปาง,งาว,นาแก,3,360,228,10,6,116
112,บช,ลำปาง,งาว,นาแก,4,460,308,15,6,131
113,บช,ลำปาง,งาว,นาแก,5,640,449,21,11,159
114,บช,ลำปาง,งาว,นาแก,6,280,183,9,0,88
115,บช,ลำปาง,งาว,บ้านร้อง,1,440,294,15,7,124
116,บช,ลำปาง,งาว,บ้านร้อง,10,440,242,13,6,179
117,บช,ลำปาง,งาว,บ้านร้อง,11,300,217,7,1,75
118,บช,ลำปาง,งาว,บ้านร้อง,12,360,191,14,3,152
119,บช,ลำปาง,งาว,บ้านร้อง,13,240,138,9,0,93
120,บช,ลำปาง,งาว,บ้านร้อง,2,520,310,28,7,175
121,บช,ลำปาง,งาว,บ้านร้อง,3,520,302,25,7,186
122,บช,ลำปาง,งาว,บ้านร้อง,4,360,234,17,3,106
123,บช,ลำปาง,งาว,บ้านร้อง,5,520,338,28,13,141
124,บช,ลำปาง,งาว,บ้านร้อง,6,220,129,11,1,79
125,บช,ลำปาง,งาว,บ้านร้อง,7,320,190,14,3,113
126,บช,ลำปาง,งาว,บ้านร้อง,8,200,136,8,0,56
127,บช,ลำปาง,งาว,บ้านร้อง,9,400,193,24,6,177
128,บช,ลำปาง,งาว,บ้านหวด,1,340,226,4,4,106
129,บช,ลำปาง,งาว,บ้านหวด,2,540,301,28,5,206
130,บช,ลำปาง,งาว,บ้านหวด,3,620,327,31,3,259
131,บช,ลำปาง,งาว,บ้านหวด,4,580,298,25,10,247
132,บช,ลำปาง,งาว,บ้านหวด,5,760,398,44,14,304
133,บช,ลำปาง,งาว,บ้านหวด,6,480,279,33,12,156
134,บช,ลำปาง,งาว,บ้านหวด,7,340,205,13,8,114
135,บช,ลำปาง,งาว,บ้านอ้อน,1,440,285,7,9,139
136,บช,ลำปาง,งาว,บ้านอ้อน,2,600,385,31,7,177
137,บช,ลำปาง,งาว,บ้านอ้อน,3,560,370,12,9,169
138,บช,ลำปาง,งาว,บ้านอ้อน,4,500,325,17,5,153
139,บช,ลำปาง,งาว,บ้านอ้อน,5,400,162,29,5,204
140,บช,ลำปาง,งาว,บ้านอ้อน,6,420,262,29,4,125
141,บช,ลำปาง,งาว,บ้านอ้อน,7,360,221,12,7,120
142,บช,ลำปาง,งาว,บ้านอ้อน,8,160,103,9,0,48
143,บช,ลำปาง,งาว,บ้านแหง,1,660,392,36,12,220
144,บช,ลำปาง,งาว,บ้านแหง,2,460,333,19,6,102
145,บช,ลำปาง,งาว,บ้านแหง,3,700,482,34,8,176
146,บช,ลำปาง,งาว,บ้านแหง,4,520,344,47,15,114
147,บช,ลำปาง,งาว,บ้านแหง,5,500,330,30,9,131
148,บช,ลำปาง,งาว,บ้านแหง,6,500,309,41,5,145
149,บช,ลำปาง,งาว,บ้านแหง,7,260,190,4,4,62
150,บช,ลำปาง,งาว,บ้านแหง,8,540,319,28,10,183
151,บช,ลำปาง,งาว,บ้านแหง,9,640,403,36,7,194
152,บช,ลำปาง,งาว,หลวงเหนือ,1,380,245,21,0,114
153,บช,ลำปาง,งาว,หลวงเหนือ,2,440,274,12,22,132
154,บช,ลำปาง,งาว,หลวงเหนือ,3,560,321,24,12,203
155,บช,ลำปาง,งาว,หลวงเหนือ,4,500,292,7,17,184
156,บช,ลำปาง,งาว,หลวงเหนือ,5,540,326,16,19,179
157,บช,ลำปาง,งาว,หลวงเหนือ,6,560,339,20,18,183
158,บช,ลำปาง,งาว,หลวงเหนือ,7,240,150,12,6,72
159,บช,ลำปาง,งาว,หลวงใต้,1,600,373,26,7,194
160,บช,ลำปาง,งาว,หลวงใต้,2,740,419,28,15,278
161,บช,ลำปาง,งาว,หลวงใต้,3,480,328,12,11,129
162,บช,ลำปาง,งาว,หลวงใต้,4,320,210,6,7,97
163,บช,ลำปาง,งาว,หลวงใต้,5,580,343,40,5,192
164,บช,ลำปาง,งาว,หลวงใต้,6,760,459,14,8,279
165,บช,ลำปาง,งาว,หลวงใต้,7,340,224,14,1,101
166,บช,ลำปาง,งาว,หลวงใต้,8,420,276,24,5,115
167,บช,ลำปาง,งาว,แม่ตีบ,1,460,261,22,7,170
168,บช,ลำปาง,งาว,แม่ตีบ,2,480,320,19,3,138
169,บช,ลำปาง,งาว,แม่ตีบ,3,440,278,16,13,133
170,บช,ลำปาง,งาว,แม่ตีบ,4,500,336,17,11,136
171,บช,ลำปาง,งาว,แม่ตีบ,5,520,326,12,6,176
172,บช,ลำปาง,งาว,แม่ตีบ,6,660,495,30,10,125
173,บช,ลำปาง,งาว,แม่ตีบ,7,320,207,11,8,94
174,บช,ลำปาง,งาว,บ้านโป่ง,1,480,259,15,13,193
175,บช,ลำปาง,งาว,บ้านโป่ง,10,460,279,14,9,158
176,บช,ลำปาง,งาว,บ้านโป่ง,11,360,205,10,3,142
177,บช,ลำปาง,งาว,บ้านโป่ง,12,420,263,20,9,128
178,บช,ลำปาง,งาว,บ้านโป่ง,2,440,261,16,5,158
179,บช,ลำปาง,งาว,บ้านโป่ง,3,340,208,14,7,111
180,บช,ลำปาง,งาว,บ้านโป่ง,4,400,213,31,1,155
181,บช,ลำปาง,งาว,บ้านโป่ง,5,520,338,14,3,165
182,บช,ลำปาง,งาว,บ้านโป่ง,6,500,252,29,2,217
183,บช,ลำปาง,งาว,บ้านโป่ง,7,360,195,31,1,133
184,บช,ลำปาง,งาว,บ้านโป่ง,8,380,234,21,5,120
185,บช,ลำปาง,งาว,บ้านโป่ง,9,420,255,21,16,128
186,บช,ลำปาง,งาว,ปงเตา,1,500,283,14,5,198
187,บช,ลำปาง,งาว,ปงเตา,10,180,95,18,1,66
188,บช,ลำปาง,งาว,ปงเตา,11,260,125,4,2,129
189,บช,ลำปาง,งาว,ปงเตา,12,380,235,11,1,133
190,บช,ลำปาง,งาว,ปงเตา,13,440,302,14,5,119
191,บช,ลำปาง,งาว,ปงเตา,2,560,330,10,7,213
192,บช,ลำปาง,งาว,ปงเตา,3,280,167,4,10,99
193,บช,ลำปาง,งาว,ปงเตา,4,460,294,5,11,150
194,บช,ลำปาง,งาว,ปงเตา,5,640,406,19,4,211
195,บช,ลำปาง,งาว,ปงเตา,6,360,198,21,6,135
196,บช,ลำปาง,งาว,ปงเตา,7,380,172,22,3,183
197,บช,ลำปาง,งาว,ปงเตา,8,360,239,13,4,104
198,บช,ลำปาง,งาว,ปงเตา,9,440,279,5,2,154
199,เขต,ลำปาง,วังเหนือ,วังใต้,1,420,288,16,12,104
200,เขต,ลำปาง,วังเหนือ,วังใต้,2,360,232,19,11,98
201,เขต,ลำปาง,วังเหนือ,วังใต้,3,320,215,6,3,96
202,เขต,ลำปาง,วังเหนือ,วังใต้,4,240,162,8,11,59
203,เขต,ลำปาง,วังเหนือ,วังใต้,5,400,254,19,11,116
204,เขต,ลำปาง,วังเหนือ,วังใต้,6,460,302,15,9,134
205,เขต,ลำปาง,วังเหนือ,วังใต้,7,420,269,15,19,117
206,เขต,ลำปาง,วังเหนือ,ทุ่งฮั้ว,1,400,271,19,23,87
207,เขต,ลำปาง,วังเหนือ,ทุ่งฮั้ว,10,320,195,12,14,99
208,เขต,ลำปาง,วังเหนือ,ทุ่งฮั้ว,11,300,198,19,15,68
209,เขต,ลำปาง,วังเหนือ,ทุ่งฮั้ว,12,320,203,22,11,84
210,เขต,ลำปาง,วังเหนือ,ทุ่งฮั้ว,2,560,377,25,18,140
211,เขต,ลำปาง,วังเหนือ,ทุ่งฮั้ว,3,-1,-1,-1,-1,-1
212,เขต,ลำปาง,วังเหนือ,ทุ่งฮั้ว,4,420,312,14,6,88
213,เขต,ลำปาง,วังเหนือ,ทุ่งฮั้ว,5,520,354,30,7,129
214,เขต,ลำปาง,วังเหนือ,ทุ่งฮั้ว,6,220,143,7,6,64
215,เขต,ลำปาง,วังเหนือ,ทุ่งฮั้ว,7,680,507,29,21,123
216,เขต,ลำปาง,วังเหนือ,ทุ่งฮั้ว,8,240,150,12,10,68
217,เขต,ลำปาง,วังเหนือ,ทุ่งฮั้ว,9,240,148,15,16,61
218,เขต,ลำปาง,วังเหนือ,บ้านใหม่,1,460,297,34,12,117
219,เขต,ลำปาง,วังเหนือ,บ้านใหม่,2,420,293,21,14,92
220,เขต,ลำปาง,วังเหนือ,บ้านใหม่,3,540,333,26,21,160
221,เขต,ลำปาง,วังเหนือ,บ้านใหม่,4,560,343,31,26,160
222,เขต,ลำปาง,วังเหนือ,ร่องเคาะ,1,720,355,42,14,309
223,เขต,ลำปาง,วังเหนือ,ร่องเคาะ,10,300,192,10,0,98
224,เขต,ลำปาง,วังเหนือ,ร่องเคาะ,11,280,193,6,16,65
225,เขต,ลำปาง,วังเหนือ,ร่องเคาะ,12,440,182,30,6,222
226,เขต,ลำปาง,วังเหนือ,ร่องเคาะ,13,380,155,24,2,199
227,เขต,ลำปาง,วังเหนือ,ร่องเคาะ,14,340,224,17,14,85
228,เขต,ลำปาง,วังเหนือ,ร่องเคาะ,15,320,224,17,4,75
229,เขต,ลำปาง,วังเหนือ,ร่องเคาะ,16,400,283,11,27,79
230,เขต,ลำปาง,วังเหนือ,ร่องเคาะ,17,340,202,13,11,114
231,เขต,ลำปาง,วังเหนือ,ร่องเคาะ,18,380,239,8,7,126
232,เขต,ลำปาง,วังเหนือ,ร่องเคาะ,2,340,214,16,13,97
233,เขต,ลำปาง,วังเหนือ,ร่องเคาะ,3,380,226,28,19,107
234,เขต,ลำปาง,วังเหนือ,ร่องเคาะ,4,720,497,28,25,170
235,เขต,ลำปาง,วังเหนือ,ร่องเคาะ,5,300,186,17,5,92
236,เขต,ลำปาง,วังเหนือ,ร่องเคาะ,6,400,281,24,2,93
237,เขต,ลำปาง,วังเหนือ,ร่องเคาะ,7,460,259,20,12,169
238,เขต,ลำปาง,วังเหนือ,ร่องเคาะ,8,660,483,25,32,120
239,เขต,ลำปาง,วังเหนือ,ร่องเคาะ,9,660,427,27,26,180
240,เขต,ลำปาง,วังเหนือ,วังซ้าย,1,160,92,7,1,60
241,เขต,ลำปาง,วังเหนือ,วังซ้าย,10,360,265,12,5,78
242,เขต,ลำปาง,วังเหนือ,วังซ้าย,2,340,241,9,8,82
243,เขต,ลำปาง,วังเหนือ,วังซ้าย,3,500,340,19,7,134
244,เขต,ลำปาง,วังเหนือ,วังซ้าย,4,520,353,21,7,139
245,เขต,ลำปาง,วังเหนือ,วังซ้าย,5,480,308,26,23,123
246,เขต,ลำปาง,วังเหนือ,วังซ้าย,6,320,232,13,7,68
247,เขต,ลำปาง,วังเหนือ,วังซ้าย,7,420,297,16,11,96
248,เขต,ลำปาง,วังเหนือ,วังซ้าย,8,520,357,26,11,126
